SA2_CODE_2021,total_population,australia_born,country_birth_not_stated,overseas_born,overseas_percent
122031424,14547,9747,424,4376,30.08
122031425,8046,5818,264,1964,24.41
122031427,13161,8439,357,4365,33.17
122031429,21828,14071,741,7016,32.14
122031430,17550,11656,381,5513,31.41
122031432,3786,2833,85,868,22.93
122031692,8652,6043,143,2466,28.5
122031693,13980,9995,469,3516,25.15
122031694,9116,6005,298,2813,30.86
122031695,17816,8706,587,8523,47.84
122031696,17175,11845,281,5049,29.4
122031697,11241,8108,408,2725,24.24
123011433,13295,11099,428,1768,13.3
123011698,6445,5037,135,1273,19.75
123011699,14019,11486,414,2119,15.12
123011700,11241,8742,233,2266,20.16
123011701,19040,15213,448,3379,17.75
123011702,9539,7755,183,1601,16.78
123021436,20011,14098,1197,4716,23.57
123021437,22084,12722,1393,7969,36.08
123021438,20236,13465,1072,5699,28.16
123021439,5,0,0,5,100.0
123021441,16729,11170,806,4753,28.41
123021443,21335,11473,1103,8759,41.05
123021444,21155,14368,1275,5512,26.06
123021703,14868,7496,448,6924,46.57
123021704,10536,4847,487,5202,49.37
123021705,16720,8862,836,7022,42.0
123021706,14198,7481,1000,5717,40.27
123031445,5934,5010,252,672,11.32
123031446,11112,9220,627,1265,11.38
123031447,18987,15969,910,2108,11.1
123031448,9808,8145,577,1086,11.07
124011449,5764,4202,351,1211,21.01
124011450,18993,15811,387,2795,14.72
124011451,7,4,0,3,42.86
124011452,13348,9680,582,3086,23.12
124011453,11445,9213,325,1907,16.66
124011454,21964,18100,575,3289,14.97
124011455,6428,4786,352,1290,20.07
124021456,8,5,0,3,37.5
124031457,16004,12557,856,2591,16.19
124031459,13914,11410,405,2099,15.09
124031460,21002,16357,466,4179,19.9
124031461,17326,13400,787,3139,18.12
124031462,24625,15356,1654,7615,30.92
124031463,12040,9338,329,2373,19.71
124031464,17966,11816,1751,4399,24.49
124031465,6025,5219,192,614,10.19
124031707,17029,13700,752,2577,15.13
124031708,13388,8957,371,4060,30.33
124041466,15239,11971,860,2408,15.8
124041467,15264,12430,780,2054,13.46
124041468,7504,5930,426,1148,15.3
124051469,6486,4586,242,1658,25.56
124051470,19942,13692,853,5397,27.06
124051580,13028,8065,939,4024,30.89
124051581,17325,10183,1861,5281,30.48
125011475,3,3,0,0,0.0
125011582,19487,5262,1646,12579,64.55
125011583,10592,2000,609,7983,75.37
125011584,8860,3621,723,4516,50.97
125011585,8610,3071,485,5054,58.7
125011586,21197,6484,909,13804,65.12
125011587,5138,2116,226,2796,54.42
125011709,9246,4727,306,4213,45.57
125011710,20412,6432,1037,12943,63.41
125021477,24641,12904,1146,10591,42.98
125021478,18508,9130,870,8508,45.97
125021711,11622,5388,244,5990,51.54
125021712,19251,8106,542,10603,55.08
125031479,20842,9774,1605,9463,45.4
125031480,15742,6479,1395,7868,49.98
125031481,23250,8395,1836,13019,56.0
125031483,22386,10406,2461,9519,42.52
125031484,22929,11202,1788,9939,43.35
125031486,10,6,0,4,40.0
125031487,12,0,0,12,100.0
125031713,16645,10734,704,5207,31.28
125031714,23806,9442,2210,12154,51.05
125031715,10893,6427,394,4072,37.38
125031716,7305,3612,523,3170,43.39
125041489,22878,9182,1472,12224,53.43
125041490,8451,4883,210,3358,39.73
125041491,20275,9081,981,10213,50.37
125041493,22853,11845,1128,9880,43.23
125041494,11199,7685,158,3356,29.97
125041588,13939,4871,798,8270,59.33
125041589,21568,6037,1438,14093,65.34
125041717,12062,2249,740,9073,75.22
125041718,9867,2411,547,6909,70.02
125041719,9034,2224,531,6279,69.5
126011496,21737,13170,467,8100,37.26
126011720,14404,6145,360,7899,54.84
126011721,18690,7099,473,11118,59.49
126021498,15456,10165,433,4858,31.43
126021499,9844,6805,366,2673,27.15
126021500,23818,8824,969,14025,58.88
126021501,15622,8204,576,6842,43.8
126021503,20102,8903,600,10599,52.73
126021590,4163,2747,126,1290,30.99
126021722,6969,3904,149,2916,41.84
126021723,18974,7148,679,11147,58.75
126021724,20291,10446,720,9125,44.97
126021725,11972,4994,470,6508,54.36
127011504,17962,9599,1735,6628,36.9
127011505,12533,7215,795,4523,36.09
127011592,25,16,0,9,36.0
127011593,6906,3646,207,3053,44.21
127011594,12919,5783,528,6608,51.15
127011595,13038,6536,470,6032,46.26
127011596,13263,6902,475,5886,44.38
127011597,17194,9726,564,6904,40.15
127011726,4761,3714,206,841,17.66
127011727,14299,9509,391,4399,30.76
127011728,12559,7527,429,4603,36.65
127011729,17624,10964,660,6000,34.04
127021509,17154,7235,760,9159,53.39
127021510,19690,8969,860,9861,50.08
127021511,24101,7419,1451,15231,63.2
127021512,18249,8058,1172,9019,49.42
127021513,22261,7953,1227,13081,58.76
127021514,10279,4498,362,5419,52.72
127021515,18248,5026,1249,11973,65.61
127021516,21249,7386,1185,12678,59.66
127021517,8855,3433,349,5073,57.29
127021518,4344,2852,250,1242,28.59
127021519,19510,8328,900,10282,52.7
127021520,11197,4312,373,6512,58.16
127021521,37,7,5,25,67.57
127031522,16584,8424,761,7399,44.62
127031523,20813,13076,805,6932,33.31
127031524,21129,13991,668,6470,30.62
127031599,12670,6242,1116,5312,41.93
127031601,5937,2041,604,3292,55.45
127031730,12080,5331,593,6156,50.96
127031731,17536,5436,1880,10220,58.28
127031732,13737,5148,1079,7510,54.67
127031733,15692,8308,630,6754,43.04
128011529,18156,14554,417,3185,17.54
128011530,20705,14457,792,5456,26.35
128011531,16430,11559,582,4289,26.1
128011602,12858,9554,542,2762,21.48
128011603,13015,10712,388,1915,14.71
128011604,24374,19214,1006,4154,17.04
128011605,3369,2877,60,432,12.82
128011606,8947,7333,204,1410,15.76
128021533,6673,5728,147,798,11.96
128021534,10554,7904,176,2474,23.44
128021535,20927,16848,320,3759,17.96
128021536,22063,17071,535,4457,20.2
128021537,42,28,16,0,0.0
128021538,23238,17038,734,5466,23.52
128021607,17356,14729,357,2270,13.08
128021608,7348,6281,144,923,12.56
128021609,3539,2991,37,511,14.44
197979799,0,0,0,0,0
199999499,11371,5912,3545,1914,16.83
201011001,16835,13677,514,2644,15.71
201011002,12131,9931,578,1622,13.37
201011005,7261,6225,302,734,10.11
201011006,10661,9041,458,1162,10.9
201011007,4230,3806,92,332,7.85
201011008,15333,13000,990,1343,8.76
201011481,9691,8188,499,1004,10.36
201011482,14750,12844,541,1365,9.25
201011483,12225,10000,676,1549,12.67
201011484,13086,10783,993,1310,10.01
201021009,6559,5253,481,825,12.58
201021010,8085,6626,649,810,10.02
201021011,9955,7503,818,1634,16.41
201021012,6372,5200,514,658,10.33
201031013,3532,2838,359,335,9.48
201031014,4644,3762,436,446,9.6
201031015,4894,4044,388,462,9.44
201031016,8160,6884,561,715,8.76
201031017,5526,4373,594,559,10.12
202011018,14929,12151,990,1788,11.98
202011019,12949,11028,765,1156,8.93
202011020,13988,11683,720,1585,11.33
202011021,9437,8089,415,933,9.89
202011022,21043,17614,1218,2211,10.51
202011023,5518,5054,145,319,5.78
202011024,10719,9457,369,893,8.33
202011025,14446,12331,685,1430,9.9
202021026,8344,7308,473,563,6.75
202021027,11352,9079,769,1504,13.25
202021028,9225,7485,684,1056,11.45
202021029,5062,3912,612,538,10.63
202021030,10562,8331,753,1478,13.99
202021031,7949,6290,397,1262,15.88
202031032,4934,4133,513,288,5.84
202031033,7289,5792,876,621,8.52
203011034,7754,6734,285,735,9.48
203011035,8111,6804,516,791,9.75
203011036,6614,5593,459,562,8.5
203021037,15017,11857,593,2567,17.09
203021039,13504,10335,737,2432,18.01
203021040,21200,17151,719,3330,15.71
203021042,24034,18775,746,4513,18.78
203021043,20817,16491,742,3584,17.22
203021044,13272,11048,439,1785,13.45
203021045,15462,12185,1070,2207,14.27
203021046,10445,8588,338,1519,14.54
203021047,15795,10633,753,4409,27.91
203021485,10300,8037,373,1890,18.35
203021486,18325,12281,1464,4580,24.99
203021487,24763,19425,865,4473,18.06
203021488,9051,5712,1046,2293,25.33
203031048,16797,13656,591,2550,15.18
203031049,6234,5041,459,734,11.77
203031051,9536,7233,733,1570,16.46
203031052,5519,4517,375,627,11.36
203031053,24607,20434,1059,3114,12.65
203031489,11333,9160,525,1648,14.54
203031490,19394,16254,918,2222,11.46
204011054,6828,5494,485,849,12.43
204011055,6922,5567,726,629,9.09
204011056,15563,12871,939,1753,11.26
204011057,10517,8370,952,1195,11.36
204011058,4537,3648,393,496,10.93
204011059,6569,5218,611,740,11.27
204011060,4645,3793,380,472,10.16
204011061,238,175,44,19,7.98
204011062,4182,3172,555,455,10.88
204021063,10822,8806,957,1059,9.79
204021064,3781,3135,352,294,7.78
204021065,4047,3567,215,265,6.55
204021066,19882,16758,1173,1951,9.81
204021067,9925,8460,710,755,7.61
204031068,4986,4132,258,596,11.95
204031069,8903,6822,817,1264,14.2
204031070,3184,2676,256,252,7.91
204031071,4745,3783,285,677,14.27
204031072,6196,5092,574,530,8.55
204031073,15396,13082,829,1485,9.65
204031075,5221,4474,365,382,7.32
204031491,12778,10925,356,1497,11.72
204031492,15082,12169,976,1937,12.84
205011076,19773,16210,1144,2419,12.23
205011077,6585,5401,547,637,9.67
205011078,8368,6951,534,883,10.55
205011079,23051,18732,1279,3040,13.19
205021080,0,0,0,0,0
205021081,15684,12735,1177,1772,11.3
205021082,8290,6833,725,732,8.83
205021083,0,0,0,0,0
205021084,11164,8583,1076,1505,13.48
205021085,6727,5247,786,694,10.32
