state_code,state,state_name,language,speakers,state_population,share_pct,share_label,national_rank,national_total,source_table,source_url
8,ACT,Australian Capital Territory,Mandarin,14397,454499,3.168,3.2%,1,685268,2021 Census G13C/G13D/G13E (STE),https://www.abs.gov.au/census/find-census-data/datapacks
8,ACT,Australian Capital Territory,Arabic,3867,454499,0.851,0.9%,2,367154,2021 Census G13C/G13D/G13E (STE),https://www.abs.gov.au/census/find-census-data/datapacks
8,ACT,Australian Capital Territory,Vietnamese,5028,454499,1.106,1.1%,3,320760,2021 Census G13C/G13D/G13E (STE),https://www.abs.gov.au/census/find-census-data/datapacks
8,ACT,Australian Capital Territory,Cantonese,4230,454499,0.931,0.9%,4,295292,2021 Census G13C/G13D/G13E (STE),https://www.abs.gov.au/census/find-census-data/datapacks
8,ACT,Australian Capital Territory,Punjabi,5019,454499,1.104,1.1%,5,239041,2021 Census G13C/G13D/G13E (STE),https://www.abs.gov.au/census/find-census-data/datapacks
8,ACT,Australian Capital Territory,Greek,2527,454499,0.556,0.6%,6,229643,2021 Census G13C/G13D/G13E (STE),https://www.abs.gov.au/census/find-census-data/datapacks
8,ACT,Australian Capital Territory,Italian,2816,454499,0.62,0.6%,7,228046,2021 Census G13C/G13D/G13E (STE),https://www.abs.gov.au/census/find-census-data/datapacks
8,ACT,Australian Capital Territory,Hindi,4769,454499,1.049,1.0%,8,197132,2021 Census G13C/G13D/G13E (STE),https://www.abs.gov.au/census/find-census-data/datapacks
8,ACT,Australian Capital Territory,Spanish,4122,454499,0.907,0.9%,9,171378,2021 Census G13C/G13D/G13E (STE),https://www.abs.gov.au/census/find-census-data/datapacks
8,ACT,Australian Capital Territory,Nepali,5859,454499,1.289,1.3%,10,133078,2021 Census G13C/G13D/G13E (STE),https://www.abs.gov.au/census/find-census-data/datapacks
